numeric_value_band,plate_count,median_price,mean_price,percentile_90_price,maximum_price,median_lift_vs_overall,sample_size_flag
0–9,2862,2735.0,3810.059399021663,8010.0,90000.0,1.8112582781456954,sufficient_sample
10–99,7964,1360.0,2274.5944249121044,5286.999999999998,102010.0,0.9006622516556292,sufficient_sample
100–999,6343,1110.0,2108.2815702349044,5010.0,91020.0,0.7350993377483444,sufficient_sample
"1,000–9,999",613,2610.0,3240.7177814029365,5140.0,33670.0,1.728476821192053,sufficient_sample
