all_digits_same,plate_count,median_price,mean_price,percentile_90_price,same_digit_group,median_lift_vs_overall,sample_size_flag
0,15376,1510.0,2514.828303850156,5760.0,Digits not all identical,1.0,sufficient_sample
1,2406,1500.0,2373.503740648379,5380.0,All digits identical,0.9933774834437086,sufficient_sample
