recommended_sales_path,plate_count,median_observed_price_gbp,median_reserve_price_gbp,observed_price_above_reserve_rate,observed_price_above_reserve_rate_pct
Premium Auction / Showcase,54,7005.0,4710.0,1.0,100.0
Standard Auction,235,3260.0,2170.0,0.7574468085106383,75.74468085106383
