event_code,lot_number,plate_raw,hammer_price_gbp,predicted_price_gbp,valuation_low_gbp,valuation_central_gbp,valuation_high_gbp,predicted_value_tier,collectibility_score,collectibility_segment,premium_collectibility_group,recommended_sales_path,sales_path_reason,recommended_fixed_price_gbp,recommended_reserve_price_gbp,specialist_review_required,specialist_review_reason,commercial_opportunity_flag
B278,18,ABA 533N,2000.0,1190.1286089215628,950.0,1190.0,1490.0,Core,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1310.0,,0,standard_automated_path,standard_monitoring
B278,19,ABD 33N,2510.0,1185.83918834579,950.0,1190.0,1480.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1310.0,,0,standard_automated_path,standard_monitoring
B278,20,ABE 150X,410.0,805.0084391074467,640.0,810.0,1010.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,890.0,,0,standard_automated_path,material_valuation_gap_review
B278,21,ABH 11A,1400.0,1672.026408661004,1340.0,1670.0,2090.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1840.0,,0,standard_automated_path,standard_monitoring
B278,22,ABU 8D,1720.0,1786.5298548089866,1430.0,1790.0,2230.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1970.0,,0,standard_automated_path,standard_monitoring
B278,23,ABU 50W,460.0,978.0771345819028,780.0,980.0,1220.0,Entry,20,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1080.0,,0,standard_automated_path,material_valuation_gap_review
B278,24,A116 CEE,360.0,691.726597824285,550.0,690.0,860.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,760.0,,0,standard_automated_path,material_valuation_gap_review
B278,25,ACF 1X,2050.0,1939.9466309201107,1550.0,1940.0,2420.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2130.0,,0,standard_automated_path,standard_monitoring
B278,26,15 ACL,5010.0,3294.842689858837,2640.0,3290.0,4120.0,Upper Core,25,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2300.0,0,standard_automated_path,standard_monitoring
B278,27,ACL 21N,820.0,1198.966101280855,960.0,1200.0,1500.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1320.0,,0,standard_automated_path,standard_monitoring
B278,28,ACW 1N,2110.0,1939.9466309201107,1550.0,1940.0,2420.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2130.0,,0,standard_automated_path,standard_monitoring
B278,29,A25 DAM,6010.0,1084.0387878100742,870.0,1080.0,1360.0,Core,17,Distinctive,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,30,AD22 AMS,1560.0,1967.3522192039884,1570.0,1970.0,2460.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2170.0,,0,standard_automated_path,standard_monitoring
B278,31,ADE 37H,2510.0,1056.0548282859634,840.0,1060.0,1320.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1170.0,,0,standard_automated_path,standard_monitoring
B278,32,A800 DEN,1510.0,600.624831651544,480.0,600.0,750.0,Entry,13,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,660.0,,0,standard_automated_path,standard_monitoring
B278,33,A14 DEO,310.0,1121.4264720149515,900.0,1120.0,1400.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1230.0,,0,standard_automated_path,material_valuation_gap_review
B278,34,ADJ 4Y,1810.0,1823.295655001023,1460.0,1820.0,2280.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2000.0,,0,standard_automated_path,standard_monitoring
B278,35,ADM 471X,1290.0,864.0406078018959,690.0,860.0,1080.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,950.0,,0,standard_automated_path,standard_monitoring
B278,36,ADN 411S,1610.0,1184.0032448841357,950.0,1180.0,1480.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1300.0,,0,standard_automated_path,standard_monitoring
B278,37,ADV 1P,1940.0,1939.9466309201107,1550.0,1940.0,2420.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2130.0,,0,standard_automated_path,standard_monitoring
B278,38,ADY 1A,3280.0,2030.0440053586656,1620.0,2030.0,2540.0,Core,42,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2230.0,,0,standard_automated_path,standard_monitoring
B278,39,ADY 58N,860.0,1131.3484457094285,910.0,1130.0,1410.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1240.0,,0,standard_automated_path,standard_monitoring
B278,40,A711 EEB,1010.0,845.1591967507179,680.0,850.0,1060.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,940.0,,0,standard_automated_path,standard_monitoring
