actual_price_band,plate_count,actual_median_price,predicted_median_price,mae_gbp,median_absolute_error_gbp,median_residual_gbp
£0–£999,660,500.0,835.132651584882,475.7295018684626,406.0822578096627,-403.8175760206428
"£1,000–£2,499",622,1510.0,1293.5690185374551,652.3074062012937,534.3250778532,53.17195101780419
"£2,500–£4,999",424,3415.0,2737.5050359018437,1442.4789650505088,1435.065879137117,865.1385590137028
"£5,000–£9,999",218,6115.0,3432.2714129164005,2980.229535579163,2733.3518407369043,2647.8658862273987
"£10,000+",53,12560.0,4803.863088994491,9572.713377597145,9012.350166425656,9012.350166425656
