is_short_plate_len_4_or_less,plate_count,median_price,mean_price,percentile_90_price,plate_group,median_lift_vs_overall,sample_size_flag
0,16516,1300.0,2073.5644223782997,4610.0,Length above 4,0.8609271523178808,sufficient_sample
1,1266,6515.0,8002.890995260664,13025.0,Length 4 or below,4.314569536423841,sufficient_sample
