is_number_below_100,plate_count,median_price,mean_price,percentile_90_price,number_group,median_lift_vs_overall,sample_size_flag
0,6956,1210.0,2208.077918343876,5010.0,Number 100 or above,0.8013245033112583,sufficient_sample
1,10826,1610.0,2680.5154258267135,6010.0,Number below 100,1.0662251655629138,sufficient_sample
