collectibility_segment,plate_count,median_price_gbp,mean_price_gbp,percentile_90_price_gbp,premium_top_10_rate,premium_top_5_rate,trophy_top_1_rate,premium_top_10_rate_pct,premium_top_5_rate_pct,trophy_top_1_rate_pct,median_price_lift_vs_portfolio,premium_rate_lift_vs_portfolio
Standard,5262,1010.0,1595.5568225009501,3510.0,0.028126187761307486,0.012542759407069556,0.0013302926643861649,2.8126187761307486,1.2542759407069555,0.13302926643861648,0.6688741721854304,0.2809774554896459
Distinctive,7375,1360.0,2171.555254237288,5000.0,0.07050847457627119,0.03010169491525424,0.004203389830508475,7.0508474576271185,3.010169491525424,0.42033898305084744,0.9006622516556292,0.704371738716435
Collectible,3942,1780.0,2785.520040588534,5910.0,0.10553018772196854,0.056823947234906136,0.015474378488077117,10.553018772196854,5.682394723490614,1.5474378488077116,1.1788079470198676,1.0542347180180025
High Collectible,780,6010.0,6956.51282051282,10298.000000000004,0.5641025641025641,0.2512820512820513,0.046153846153846156,56.41025641025641,25.128205128205128,4.615384615384616,3.980132450331126,5.635321233074042
Trophy Candidate,423,6810.0,8418.463356973994,14068.0,0.6052009456264775,0.4302600472813239,0.10401891252955082,60.520094562647756,43.02600472813239,10.401891252955082,4.509933774834437,6.04588944670226
