model,dataset,mae_gbp,median_absolute_error_gbp,rmse_gbp,log_rmse,mae_improvement_vs_median_pct
ridge_regression,validation,1258.6603979973252,644.3119773640167,2395.9860291508335,0.7666144463838274,29.541219682453008
plate_length_median_baseline,validation,1454.3854324734446,800.0,2609.386019175059,0.885886150496611,18.58469222775628
training_median_baseline,validation,1786.3783510369246,1010.0,3114.952509277326,1.0510760790493852,0.0
